Issue Number,AuditBoard Number,Model Number,Model Name,Model Owner,Model Validator,Finding Area,Description of Finding,Management Response,Finding Rating,Original Due Date,New Due Date,Status,Past Due?,Due Date Extension Times,Recommendation,Report Date,Note
79,1052,1,Model1,Owner1,MRM2,Model Governance/Model Documentation,"High degree of dependence on “key person’s” knowledge and end-user developed tools for preparing input files for BancWare usage. Various steps with convoluted logics need to take place before the position and market data to be model ready in BancWare. While the process is intended to be completed by BDI, the process owner had to create many SQL scripts due to certain BDI constraints. This has created significant knowledge concentration risks as these SQL scripts require high degree of detailed knowledge to run properly. In case of absence of the “key person”, the ETL process for modelling is at risk if modifications are needed.
Additionally, the imputation logic on missing values in the SQL Scripts were critical assumptions in Data Control and need to be documented. ",,Medium,12/31/2021,12/31/2021,Completed,Completed,N/A,"MRM suggests documenting the ETL process, explaining critical SQL scripts and educating team members on the ETL process as well as other high-dependency processes. In the long term, a more integrated and streamlined process should be developed.  In addition, imputation logic (assumptions for missing values) needs to be described in the model documentation.",7/6/2021,
80,1053,1,Model1,Owner1,MRM2,Data Control,"MRM found a lack of control on model data inputs that require human maneuver; data in this process is subject to over-writing and deletion. MRM discovered that certain term points of the Treasury rates (CMT) in BancWare did not match the rates from the data source for the Dec 2020 model. 
While the balance of instruments tied to Treasury rates is very small (1% of balance of all instruments), the lack of data control underneath the error can expose the model to larger risk.  ",,Medium,12/31/2021,12/31/2021,Completed,Completed,N/A,"To ensure accurate model inputs, the modeling team should streamline the process of retrieving and uploading interest rate inputs and review the inputs on BancWare before running the model. ",7/6/2021,
81,1054,1,Model1,Owner1,MRM2,Conceptual Soundness,"The current approach of instantaneous shocks of –100bps to +300bps in increments of 100bps, relative to base case, is in line with industry practices.  However, rate shocks of these magnitudes do not provide much insight into model performance in the near term and help with back testing and model recalibration.   Current approach to creating non-parallel rate shocks is significantly different from parallel approach (results from these are not reported to the ALCO).  
In the current environment of low rates, there are many plausible scenarios that could be considered.  Such plausible rate scenarios for the near term would help with:  
1.	Better quantitative insight into portfolio performance in the near term  
2.	Planning and executing more effectively in the near term 
3.	Back testing models with relatively similar positions in the near term 

For the borrowing in the down 100 bps scenario, the 3m LIBOR rate (+18bps as of 3/31/2021) is allowed to go significantly negative (-82 bps) to compute the interest expense for the liability instruments
a.	In computing the coupon rate of trust preferred securities, the large nominal spread above 3m LIBOR permits the floating rate coupon to be positive despite the underlying reference rate being negative
b.	For keeping consistency of contractual obligations versus forecasting process, it is necessary to evaluate each security’s legal terms (whether they allow using a negative value for the underlying reference rate to compute the coupon)
",,Low,6/30/2022,6/30/2022,Completed,Completed,N/A,"The model owner should build rate shock scenarios internally or utilize external expertise from a third-party vendor to address the issues above.  Specifically, the modeling of trust preferred securities should be consistent with the underlying contractual obligations.",7/6/2021,
98,1408,6,Model2,Owner2,Consulting1,Data Monitoring,"- The data quality testing has yet to be conducted since the implementation of the Actimize Fraud model. Data quality testing is normally put in place to assess the input data quality across various dimensions of data quality like validity (e.g., length c",We are currently in the process of working with FIS and Actimize to create the necessary reports for a data reconciliation. ,Medium,5/31/2022,12/31/2023,In Progress,Past Due,3,"Together with the planning and implementation of the data reconciliation process, it is also recommended that the model owner conduct periodic data quality testing to assess the quality of the Actimize input data. It is also recommended that the model owner develop a procedural document to guide and govern data reconciliation process and data quality testing. In addition, the model owner should maintain a formal list of KDEs used by the Fraud monitoring rules, which should be the focus of the data quality and reconciliation testing.",11/30/2021,"MRM is the current model owner, the model owner is in the process of trying to replace the current vendor"
99,1409,6,Model2,Owner2,Consulting1,Model Implementation,"The testing evidence for the Fraud monitoring rule logic appears insufficient. An annual back-testing process (i.e., rule simulation testing) was established as part of the system governance, but the necessary Actimize input data does not appear to be readily available for the model owner to carry it out. The existing pre-implementation testing conducted on the sampled monitoring rules relied on a limited number of test cases and does not appear to be evidence of sufficient coverage.",We are waiting on the completion of several new releases so we can move forward with the back testing.  ,Low,11/30/2022,12/31/2023,In Progress,Past Due,3,"It is recommended that the model owner conduct a formal and comprehensive testing on the rule logic using historical data in production. As the first step, the model owner should establish a working plan with the vendor to procure the necessary Actimize input data and output alert data for the testing.",11/30/2021,"MRM is the current model owner, the model owner is in the process of trying to replace the current vendor"
100,1410,6,Model2,Owner2,Consulting1,Model Performance,"It appears that no ongoing performance monitoring was conducted to assess the performance of the rules and the current threshold settings on a periodic basis. A high-level quarterly performance monitoring / tuning protocol was documented in the Systems Governance Documentation, but the details on the performance metrics warrant enhancements. For example, SAR may no longer be applicable to the performance metrics for Fraud; instead, the “alert efficiency ratio” (# of Alerts closed as Fraud/# of Alerts) could be considered for the model.",It appears that we now have the necessary reports to begin quarterly performance analysis of the rules. If the information in the new releases are insufficient we will go back to Actimize for improved reports. ,Low,11/30/2022,12/31/2023,In Progress,Past Due,3,"Although Actimize was recently implemented at the Bank, it is recommended that the model owner establish and carry out a periodic ongoing performance monitoring exercise to assess the performance of the rules and the current thresholds settings in production. This would help to determine if the current alert productivity meets the Bank’s risk appetite and identify any potential opportunities to adjust threshold levels. The existing high-level performance monitoring / tuning protocol documented in the System Governance Documentation could be leveraged, but the details should be enhanced.",11/30/2021,"OWS is the current model owner, the model owner is in the process of trying to replace the current vendor"
101,1411,6,Model2,Owner2,Consulting1,Model Performance,"The “efficiency ratio” of the model output (# of Alerts closed as Fraud/# of Alerts) appears low (around 0.09% overall). In addition, currently there is a limitation on the output alert data, preventing the model owner from conducting further fine-tuning on the initial thresholds implemented. For some rules, the output data extracted from Actimize appear to lack a clear and granular view of the mapping between the rules and the alerts triggered by the rules. Without such view, the accuracy of the rule performance monitoring conducted by the model validators or planned by the Bank might be impacted. Based on the interviews with the model owner, this limitation was raised to Actimize for potential enhancement.",It appears that we now have the necessary reports to begin quarterly performance analysis of the rules. If the information in the new releases are insufficient we will go back to Actimize for improved reports. ,Medium,"9/30/202
","9/30/2022
",Completed,Completed,N/A,A low output efficiency ratio is typically considered as an indicator of potential opportunities to tune / enhance the Fraud monitoring rules. It is recommended that the model owner consider potential tuning activities and/or rule enhancements to reduce the number of false positives without losing the coverage of relevant Fraud risks.,11/30/2021,
120,1652,1,Model3,Owner1,Consulting2,Conceptual Soundness,"The issue of using “deterministic” versus “stochastic modeling” for the balance sheet is important given the Bank’s substantial holdings of whole loans and MBS. Stochastic modeling is the more theoretically correct method to use in order to determine market value changes due to interest rate changes for these particular assets.
The ALM modeling team ran “stochastic” modeling in March 2022 and cited rate distortion as the reason for choosing “deterministic” modeling. The model owner does not believe Black-Karasinski (BK) or Hull-White (HW) are appropriate term structure models to employ in the current fluctuating rate environment. The model owner commented that stochastic modeling will be reconsidered when rates normalize and quoted the normalized range to be 4.5% to 5%. However, the modeling team does not have an analysis-driven framework to determine rate normalization. ","The model owner will enhance model documentation highlighting Bankware’s limitation of its offered interest rate models.  
The model owner will enhance documentation to capture when it may be appropriate to use stochastic modeling based on normalized interest rates and meaningful balance sheet optionality based on exposure of “at the money” options. 
(Deep in the money options or out of the money options do not have high variability of risk metrics or cash-flow.)   ",Medium,3/31/2023,3/31/2023,Completed,Completed,N/A,"The model owner needs to add to their model documentation that BancWare has a model limitation regarding term structure modeling choices.  In particular, the model only has two options: BK and HW.  There are other term structure models that might be more appropriate given the current rate environment. 
The ALM modeling team needs to establish a framework/procedure for determining rate normalization (when will rates be considered steady at some level) and use it to support the decision to choose deterministic modeling over stochastic modeling.  Furthermore, as rates approach the “normalization” viewpoint of the model owner, and the balance sheet has meaningful exposure of “at the money” mortgage loans and mortgage backed securities (MBS) they should re-evaluate  stochastic modeling for implementation.  The model owner will define what rate “normalization” represents.  For example, a long-term average of the 10 year Treasury rate or 30 year mortgage rate.  
In addition, model owner will define meaningful exposure of “at-the-money” mortgage loans and MBS. For example, specify a spread between the current 30 year mortgage rate and the rate on existing 30 year mortgages and MBS on Ameris’ books.  If the specified trigger or threshold for rate normalization or “at-the-money” exposure is reached, the model owner should re-evaluate the decision on using stochastic (OAS) modeling for mortgages.",1/3/2023,
121,1653,1,Model3,Owner1,Consulting2,Model Governance,"The modeling team self-identified manual errors in model back-testing. This issue highlights that the modeling process is not optimally automated, giving room to human error. The other benefit of automating the modeling process is faster model deployment, potentially enabling more frequent model runs.","The modeling team will perform an end to end review of the existing process identifying manual steps prone for errors. 
Documentation awareness; incorporation of checks; and feasible automation will be completed.",Low,10/31/2023,10/31/2023,Completed,Completed,N/A,The modeling team should identify error-prone manual tasks in the modeling process and execute reasonable plans to automate them.,1/3/2023,
122,1654,1,Model3,Owner1,Consulting2,Conceptual Soundness,"This finding is on the transition from LIBOR to SOFR. The Bank does not have a significant amount of assets with coupon rates that are indexed to LIBOR rates. The small size of the exposure factored into our decision to rate this finding “Low.” · The modeling team assumed LIBOR +200 will convert to SOFR +226 based on regulation ZZ which states spread to LIBOR can be converted to SOFR by adding 26 bps if contract does not have fallback language. The assumption needs to be validated by confirming that the contractual documents indeed do not have any fallback language. · The modeling team did not perform impact analysis on NII, EVE, and market prices on assuming the conversion from LIBOR + ""X” spread to SOFR + “X+26” spread based on the “effective” rates of the two indices.",The model owner will review specific LIBOR to SOFR transition fallback language to ensure and update if necessary any modeling assumptions. ,Low,10/31/2023,10/31/2023,Completed,Completed,N/A,"The model owner should review original contractual documents (pricing and offering documents for investors) and provide evidence that contractual agreement was accurately reflected in modeling. 
The model owner should perform an impact analysis of the LIBOR to SOFR conversion assumption; for instance, back-test the assumption on historical data with actual SOFR rates. ",1/3/2023,
123,1655,1,Model3,Owner1,Consulting2,Conceptual Soundness,"Ameris Bank has approximately $500 MM exposure (<3% of Ameris’ total assets) in Sub-debt and TruPs. The small size of this exposure informed our decision to rate this finding as “Low.” 
•	Sub-debt was used as proxy for TruPs even though they are different products with different maturity and seniority in the capital structure. The ALM modeling team did not provide enough analysis and rationale to support that decision. 

•	TruPs were discounted with a spread of 285 bps which was based on the spread of the latest sub-debt issuance of 294. The modeling team did not document how 285 was derived from 294. 

•	There is a lack of support on why TruPs of different maturities were discounted using the same spread of 285 bps. 

•	The modeling team did not perform impact analysis on NII, EVE, and market prices on assuming the conversion from LIBOR + ""X” spread to SOFR + “X+26” spread based on the “effective” rates of the two indexes.",The model owner will review specific LIBOR to SOFR transition fallback language for its TruPs and ensure appropriate valuation and new business spreads are utilized for its TruPs modeling.  ,Low,10/31/2023,10/31/2023,Completed,Completed,N/A,The model owner should review the original contractual documents (pricing and offering documents for investors) and leverage this information to provide additional support for their decision on the spread to discount TruP instrument in their model documentation. ,1/3/2023,
165,2218,1,Model3,Owner1,Consulting3,Model Design,Simulation is performed over a 24-month time horizon.,Model owner will develop 60 month horizon.,Low,9/30/2024,9/30/2024,In Progress,On Track,N/A,Consider periodically extending the simulation period beyond the current 24 months to 60 months.  (Section 4.2),10/13/2023,
166,2219,1,Model3,Owner1,Consulting3,Model Design,"Several loans in the data input file show coupon rates that are lower than lifetime floors (~$148 million).  Additionally, several loans show coupon rates above 20% (several as high as 100%) in the loan data  (~$70 million).",A new data quality rule will be developed to detect this occurrence and utilized to inform data owners for remediation.,Low,9/30/2024,9/30/2024,In Progress,On Track,N/A,Review the loan data and import process to ensure the coupon rates and floor values are working as intended.  (Section 6.2),10/13/2023,
167,2220,1,Model3,Owner1,Consulting3,Model Design,DCG noted several instances where new business pricing spreads and discount spreads used for calculating market values were not aligned.,New business spreads and valuation spreads will be reviewed and updated as necessary.,Low,9/30/2024,9/30/2024,In Progress,On Track,N/A,Review the spreads assigned to the various model categories for both pricing of new business and discounting of cash flows to ensure they are working as intended and producing reasonable results.  (Section 7.3),10/13/2023,
176,2458,84,Model4,Owner3,MRM3,Ongoing Performance Monitoring,Model owner provided a document that describes the monitoring of the model. The document does not explain how the model owner will evaluate the performance of the model in production. ,"We will evaluate Identity Verification Report in DocuSign on Monthly Basis. We will run an Identity Verification Report that will supply any envelope sent to customer using Onfido in DocuSign. Then we access those envelops in DocuSign to review the data from Onfido. The data reviewed from Onfido will be ID image capture, ID Type, Issuing Country or Region, Full Name, Date of Birth and Gender.  For failed, we will evaluate why it failed, was it a true or false negative, what ID was used and was it fraudulent. On passed, was it a true or false positive. We will also compare passed against failed ones to view if it demonstrates any bias between the two based on the age and gender provided by Onfido. On a monthly basis we will complete a summary report of the review noting Total Population, Percentage of Correctly Passed, Percentage of Correctly Failed, Percentage of Incorrectly Passed and Percentage Incorrectly Failed.  ",Medium,8/15/2024,8/15/2024,In Progress,On Track,N/A,"MRM expects the model owner to evaluate the performance of the model related to potential bias (Age, Gender, and Race/Ethnicity). Model owner should also provide the ongoing monitoring performed by the vendor. The vendor mentioned that they track the overall performance of Onfido, and the specific performance of Onfido using Ameris bank data as well. If the performance of Ameris Bank deviates compared to the overall performance, then the vendor will investigate and communicate the reason to the model owner. Model owner needs to set threshold on all the metrics that they are monitoring. ",,
177,2459,84,Onfido,Owner3,MRM3,Model Documentation,The Model documentation provide by the model owner does not meet MRM Standard.,Working on the Model Documentation,Low,2/15/2025,2/15/2025,In Progress,On Track,N/A,"Model owner should use the template of Model Development Document (MDD) provided by Model Risk Management (MRM). Model owner should convert the white paper from the vendor into the template provide by MRM. All the sections from the template must be filled. Model owner must provide all the details. By reading the MDD, MRM should be able to replicate at least the rules of the transaction analysis.",,
178,2460,84,Onfido,Owner3,MRM3,Model Test Evaluation,Model owners have not thoroughly evaluated the model.,Will test this on an annual basis.,Low,2/15/2025,2/15/2025,In Progress,On Track,N/A,MRM expects model owner to simulate fraudulent cases and test to see if Onfido will detect the case.,,
179,2461,81,Model5,Owner4,MRM3,Data Quality and assessment,Model owner did not provide the data quality of the Key Business Elements.,"Currently, the fraud department does not have access to core data, we only receive reporting when requested",Low,2/2/2025,2/2/2025,In Progress,On Track,N/A,"Model owner should list all the Key Business Elements (KBE). KBEs are the data fields used by the model to generate alert. Model owner should investigate the quality of the KBE for instance, the number of missing values, provides the range from which if the missing rate is above, a data breach should be raised.",,
180,2462,81,Model5,Owner4,MRM3,Data Quality and assessment,Model owner should put in place a process to evaluate the quality of data that the OrboGraph uses. The question is how the model owner ensures that all the bank checks are monitored by OrboGraph.,Data quality depends on the accuracy and the maintenance of the scanner equipment. Branches are reached out; we request the branches to reupload the checks in case if checks are not correctly uploaded.,Low,2/2/2025,2/2/2025,In Progress,On Track,N/A,Model owner must have a document that track the communication with the branches. Model owner can also provide a statistic that show the rate of badly scanned checks by branches.,,
181,2463,81,Model5,Owner4,MRM3,Data Quality and assessment,"The model owner should make sure that the bank transaction data used by OrboGraph is complete and well record. In fact, if there is a difference between the bank data and the data used by OrboGraph, model owner should provide justification and the process to close the gap. Also, the model owner should perform impact analysis related to the data quality issues.","Currently, the fraud department does not have access to core data, we only receive reporting when requested.",Low,2/2/2025,2/2/2025,In Progress,On Track,N/A,Model owner must provide a data reconciliation analysis between the data from Ameris Bank and the transaction data used by Orbograph to generate alerts.,,
182,2464,81,Model5,Owner4,MRM3,Model Documentation,The model development document provide by model owner does meet the requirement of MRM.,PMO will combine all the documents into one document. Fraud Director and Fraud Strategy analyst will review and vet.,Low,2/2/2025,2/2/2025,In Progress,On Track,N/A,"Model owner should use the template of Model Development Document (MDD) provided by Model Risk Management (MRM). In fact, Model owner should convert the white paper from the vendor into the template provide by MRM. All the sections from the template must be filled. Model owner must provide all the details. By reading the MDD, MRM should be able to replicate at least the rules of the transaction analysis.",,
183,2465,81,Model5,Owner4,MRM3,Tuning Analysis,Model owner must provide a protocol that defines the conditions from which the thresholds must be tuned. This tuning exercise provide to model owner evidence to change or keep the current threshold,Thresholds will be changed based on gaps in process and fraud losses. Threshold and configuration changes will be tracked by the Fraud Strategy Analyst. That information will be housed on the department drive.,Low,2/2/2025,2/2/2025,In Progress,On Track,N/A,Model owner must integrate in the Model Development Document a section that describes the conditions that lead to the tuning exercise.,,
184,2466,81,Model5,Owner4,MRM3,Back Testing,"This exercise is very important, in fact, performing back testing allows model owner to ensure that the model on production is performing as expected. ","Currently, the fraud department does not have access to core data, we only receive reporting when requested.",Low,2/2/2025,2/2/2025,In Progress,On Track,N/A,"Model owner must perform back testing on transaction analysis rules. When performing back testing, model owner should use data from the bank data warehouse, not data from FIS environment. ",,
185,2467,81,Model5,Owner4,MRM3,Below Line Testing,"This issue has been raised because the model is brand new, and the model owner did not provide any analysis to justify the selected thresholds. ","Periodic Review of Chargeback report will give us visibility into items that may have missed our risk review tool, based on that information, changes to threshold and configurations will be made.",Medium,8/2/2024,8/2/2024,In Progress,On Track,N/A,"This exercise helps model owner to confirm that good alerts are not missed. Model owner will try different values of the thresholds, for each value, model owner generates alerts, investigate the alerts, and decide if the alerts are good or not. Based on the outputs of this analysis, model owner decides if the threshold will be lowered.",,
186,2468,81,Model5,Owner4,MRM3,Ongoing Monitoring Plan,"Given that the model is brand new, model owner did not provide the performance of the model on production.",On a monthly basis we will request data from the data warehouse team and then we will put a plan to evaluate the model.,Medium,8/2/2024,8/2/2024,In Progress,On Track,N/A,"This is very important because model owner tracks the performance of the model on production. During this exercise, model owner provides the performance of the model quarterly and monthly. Model owner also provides the data quality of the KBEs. If the data quality is not as expected, model owner performs an impact analysis to estimate the importance of the issue on the alert generation. If the model performance is not as expected, model owner investigates to identify the issue and propose a solution. Ongoing monitoring document should define criteria that can be used to evaluate the performance of the model. ",,
187,2469,83,Model6,Owner5,MRM4,Model Documentation,The model owner should establish the ongoing monitoring plan and document the ongoing monitoring activities.,,Low,4/18/2025,4/18/2025,In Progress,On Track,N/A,"MRM recommends that the model owner establish ongoing monitoring activities, including but not limited to comparing the current report against the previous year report, creating breach thresholds, and developing remediation plans if a breach occurs, etc.",4/18/2024,
